FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
8,336.1361694335937,760.6940307617188,336.1307373046875,745.4327392578125,872.2417602539062,872.2417602539062,y
9,335.9019470214844,764.1506958007812,332.73516845703125,748.2432861328125,872.07373046875,872.07373046875,y
10,336.02642822265625,764.7073364257812,332.6544189453125,748.8473510742188,872.311279296875,872.311279296875,y
11,336.0645446777344,764.9248657226562,332.9515380859375,749.1117553710938,872.2040405273438,872.2040405273438,y
12,336.0078430175781,767.4668579101562,332.7184143066406,751.3364868164062,872.171630859375,872.171630859375,y
13,336.11688232421875,767.5726928710938,332.8317565917969,751.4740600585938,872.1309814453125,872.1309814453125,y
14,336.19781494140625,765.0421142578125,335.8039245605469,749.40869140625,872.290283203125,872.290283203125,y
15,336.06402587890625,767.522216796875,332.9433288574219,751.4425659179688,872.1600341796875,872.1600341796875,y
16,336.40478515625,767.9849853515625,333.1607971191406,751.8668823242188,872.0068969726562,872.0068969726562,y
17,336.373779296875,767.9267578125,333.11279296875,751.7379150390625,872.37548828125,872.37548828125,y
18,336.2771911621094,767.6911010742188,333.2437744140625,751.4939575195312,872.34423828125,872.34423828125,y
19,336.27642822265625,768.317138671875,333.0564270019531,752.093505859375,872.099853515625,872.099853515625,y
20,336.33648681640625,768.0574340820312,333.05487060546875,751.8397827148438,872.0947875976562,872.0947875976562,y
21,336.49078369140625,765.0266723632812,333.52978515625,749.4340209960938,872.25048828125,872.25048828125,y
22,348.0042724609375,757.1367797851562,352.4162902832031,745.1618041992188,868.9358520507812,868.9358520507812,y
23,356.4769287109375,756.1754150390625,361.217529296875,744.1197509765625,871.8859252929688,871.8859252929688,y
24,363.9482116699219,752.8966674804688,371.5608825683594,740.6495971679688,872.1903686523438,872.1903686523438,y
36,416.1929016113281,792.0902099609375,428.6619567871094,806.6383056640625,868.901611328125,868.901611328125,y
37,433.059814453125,791.6373901367188,449.80657958984375,776.3364868164062,871.5902709960938,871.5902709960938,y
38,444.8500671386719,796.80419921875,461.5119934082031,809.4310913085938,868.8131103515625,868.8131103515625,y
40,445.0954895019531,796.9189453125,461.816650390625,809.0651245117188,868.3523559570312,868.3523559570312,y
48,380.7743225097656,795.9178466796875,395.6100463867188,784.3753662109375,871.6962280273438,871.6962280273438,y
82,448.43017578125,807.9331665039062,465.4937744140625,804.1405029296875,880.1124267578125,880.1124267578125,y
83,448.4503784179688,807.7781982421875,465.46240234375,803.8630981445312,880.4793701171875,880.4793701171875,y
84,448.531494140625,808.1734008789062,465.5408325195313,804.424560546875,880.2168579101562,880.2168579101562,y
85,448.6785583496094,808.3596801757812,465.679443359375,804.6422119140625,880.1148681640625,880.1148681640625,y
86,448.4876708984375,808.6384887695312,465.5310668945313,804.8630981445312,880.4095458984375,880.4095458984375,y
87,448.4517822265625,808.852783203125,465.4810791015625,804.8538208007812,880.3142700195312,880.3142700195312,y
89,448.6578674316406,808.7471923828125,465.7085571289063,801.4130249023438,880.095458984375,880.095458984375,y
90,448.4613342285156,808.4615478515625,465.5016174316406,801.104248046875,880.3020629882812,880.3020629882812,y
91,448.2784729003906,808.4953002929688,465.3196105957031,804.4996337890625,879.95703125,879.95703125,y
92,448.4289245605469,808.4840698242188,465.4771118164063,804.3759155273438,879.8150634765625,879.8150634765625,y
93,448.0772399902344,808.4093017578125,465.1766662597656,804.2852783203125,876.9818725585938,876.9818725585938,y
94,448.4244079589844,808.3954467773438,465.5180969238281,804.421142578125,876.898681640625,876.898681640625,y
95,448.15081787109375,808.5250854492188,465.26116943359375,804.5059204101562,876.8770141601562,876.8770141601562,y
96,451.524169921875,808.5397338867188,468.3297424316406,804.986328125,880.066162109375,880.066162109375,y
97,448.9476318359375,808.5425415039062,466.01568603515625,808.5202026367188,879.88623046875,879.88623046875,y
98,448.03564453125,808.8098754882812,465.1365966796875,808.8550415039062,879.8687744140625,879.8687744140625,y
99,447.8705749511719,808.9453735351562,464.9363403320313,809.1939086914062,879.8712158203125,879.8712158203125,y
100,447.8033447265625,808.9903564453125,464.818603515625,809.128173828125,879.8982543945312,879.8982543945312,y
101,447.7078247070313,808.9752807617188,464.6701354980469,809.0791625976562,880.125244140625,880.125244140625,y
