frame,head_center_x,head_center_y,beak_tip_x,beak_tip_y,left_eye_x,left_eye_y,rigth_eye_x,rigth_eye_y,body_x,body_y,tail_x,tail_y,RF_x,RF_y,RF_visible
13033,524.9158325195312,449.0532836914063,549.1814575195312,472.5905456542969,536.5391235351562,432.3815612792969,509.92095947265625,461.52972412109375,524.8994750976562,377.2183227539063,508.016357421875,302.2581481933594,200,200,n
13034,524.7483520507812,448.9542236328125,548.605224609375,472.7886657714844,536.508544921875,432.4453125,509.66009521484375,461.05413818359375,524.4930419921875,377.4738464355469,508.28814697265625,302.2200927734375,200,200,n
13035,524.4357299804688,449.0252075195313,548.3935546875,473.1870727539063,536.0136108398438,432.631103515625,509.140625,460.864013671875,524.26513671875,377.4336242675781,508.3399353027344,302.3110046386719,200,200,n
13036,524.5128173828125,450.77044677734375,548.5613403320312,472.2721862792969,535.9068603515625,431.9718017578125,509.3027648925781,462.601318359375,524.6143188476562,379.3546142578125,508.4041748046875,304.4537658691406,200,200,n
13037,524.3719482421875,448.9643249511719,548.6685180664062,472.8402404785156,535.9397583007812,432.3307800292969,509.1646728515625,461.3071594238281,524.4074096679688,377.8153076171875,507.7863464355469,302.46875,200,200,n
13038,524.4010009765625,448.8167114257813,548.5230712890625,472.83245849609375,535.8646240234375,432.1620178222656,508.955078125,460.7996215820313,524.3666381835938,377.7531127929688,507.47369384765625,302.3724670410156,200,200,n
13039,528.023681640625,448.1897277832031,547.699951171875,468.7208862304688,536.8306274414062,431.7389526367188,512.7722778320312,457.2879638671875,524.3126831054688,377.5479736328125,509.76025390625,301.65753173828125,200,200,n
13042,540.1766967773438,407.2493286132813,569.68310546875,411.12890625,544.6453857421875,392.6600646972656,532.7437133789062,427.63580322265625,517.4445190429688,378.9451293945313,468.5146789550781,307.3508605957031,200,200,n
13061,532.4708251953125,427.6742248535156,556.8512573242188,444.4280395507813,541.603271484375,411.2318115234375,521.3690185546875,443.4521484375,520.5431518554688,375.39752197265625,490.2186279296875,293.048095703125,200,200,n
13062,531.829833984375,430.9451599121094,556.6153564453125,447.830322265625,540.750732421875,412.450927734375,520.4672241210938,444.6374816894531,521.41650390625,375.6694946289063,492.4967346191406,299.44122314453125,200,200,n
13063,532.2554931640625,432.2476196289063,556.8375244140625,448.86077880859375,541.0513916015625,413.1102600097656,520.92431640625,447.9060974121094,521.1570434570312,376.5289611816406,492.3917846679688,300.98175048828125,200,200,n
13064,532.20556640625,431.62005615234375,556.6203002929688,448.6092529296875,541.2835693359375,413.0349731445313,520.2911376953125,445.0012817382813,521.1199951171875,376.2872314453125,492.8530578613281,303.20819091796875,200,200,n
13065,531.843994140625,432.2047729492188,556.2772216796875,449.00982666015625,540.7565307617188,413.3680725097656,519.8743286132812,445.53607177734375,521.3572387695312,376.3855895996094,492.284912109375,303.63385009765625,200,200,n
13066,531.682373046875,432.3756103515625,556.0844116210938,449.3162841796875,540.7346801757812,413.7784423828125,519.6033325195312,445.5062255859375,520.88037109375,376.7109375,492.6114807128906,301.66925048828125,200,200,n
