frame,head_center_x,head_center_y,beak_tip_x,beak_tip_y,left_eye_x,left_eye_y,rigth_eye_x,rigth_eye_y,body_x,body_y,tail_x,tail_y
13033,524.9158325195312,449.05328369140625,549.1814575195312,472.5905456542969,536.5391235351562,432.3815612792969,509.92095947265625,461.52972412109375,524.8994750976562,377.21832275390625,508.016357421875,302.2581481933594
13034,524.7483520507812,448.9542236328125,548.605224609375,472.7886657714844,536.508544921875,432.4453125,509.66009521484375,461.05413818359375,524.4930419921875,377.4738464355469,508.28814697265625,302.2200927734375
13035,524.4357299804688,449.02520751953125,548.3935546875,473.18707275390625,536.0136108398438,432.631103515625,509.140625,460.864013671875,524.26513671875,377.4336242675781,508.3399353027344,302.3110046386719
13036,524.5128173828125,450.77044677734375,548.5613403320312,472.2721862792969,535.9068603515625,431.9718017578125,509.3027648925781,462.601318359375,524.6143188476562,379.3546142578125,508.4041748046875,304.4537658691406
13037,524.3719482421875,448.9643249511719,548.6685180664062,472.8402404785156,535.9397583007812,432.3307800292969,509.1646728515625,461.3071594238281,524.4074096679688,377.8153076171875,507.7863464355469,302.46875
13038,524.4010009765625,448.81671142578125,548.5230712890625,472.83245849609375,535.8646240234375,432.1620178222656,508.955078125,460.79962158203125,524.3666381835938,377.75311279296875,507.47369384765625,302.3724670410156
13039,528.023681640625,448.1897277832031,547.699951171875,468.72088623046875,536.8306274414062,431.73895263671875,512.7722778320312,457.2879638671875,524.3126831054688,377.5479736328125,509.76025390625,301.65753173828125
13042,540.1766967773438,407.24932861328125,569.68310546875,411.12890625,544.6453857421875,392.6600646972656,532.7437133789062,427.63580322265625,517.4445190429688,378.94512939453125,468.5146789550781,307.3508605957031
13061,532.4708251953125,427.6742248535156,556.8512573242188,444.42803955078125,541.603271484375,411.2318115234375,521.3690185546875,443.4521484375,520.5431518554688,375.39752197265625,490.2186279296875,293.048095703125
13062,531.829833984375,430.9451599121094,556.6153564453125,447.830322265625,540.750732421875,412.450927734375,520.4672241210938,444.6374816894531,521.41650390625,375.66949462890625,492.4967346191406,299.44122314453125
13063,532.2554931640625,432.24761962890625,556.8375244140625,448.86077880859375,541.0513916015625,413.1102600097656,520.92431640625,447.9060974121094,521.1570434570312,376.5289611816406,492.39178466796875,300.98175048828125
